No.,Chinese Name,Japanese Name,English Name,Description (Simplified),Description (Traditional),Common,Hidden
001,恶臭,あくしゅう,Stench,通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。,發出臭氣，在攻擊的時候，有時會使對手畏縮。,6,3
002,降雨,あめふらし,Drizzle,出场时，会将天气变为下雨。,出場時，會將天氣變為下雨。,2,1
003,加速,かそく,Speed Boost,每一回合速度会变快。,每一回合速度會變快。,4,10
004,战斗盔甲,カブトアーマー,Battle Armor,被坚硬的甲壳守护着，不会被对手的攻击击中要害。,被堅硬的甲殼守護著，不會被對手的攻擊擊中要害。,9,2
005,结实,がんじょう,Sturdy,在ＨＰ全满时，即使受到招式攻击，也不会被一击打倒。一击必杀的招式也没有效果。,在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。,39,8
006,湿气,しめりけ,Damp,通过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,透過把周圍都弄濕，使誰都無法使用自爆等爆炸類的招式。,8,12
007,柔软,じゅうなん,Limber,因为身体柔软，不会变为麻痹状态。,因為身體柔軟，不會陷入麻痺狀態。,12,2
008,沙隐,すながくれ,Sand Veil,在沙暴的时候，闪避率会提高。,在沙暴中閃避率會提高。,15,14
009,静电,せいでんき,Static,身上带有静电，有时会让接触到的对手麻痹。,身上帶有靜電，有時會令接觸到的對手麻痺。,19,1
010,蓄电,ちくでん,Volt Absorb,受到电属性的招式攻击时，不会受到伤害，而是会回复。,受到電屬性的招式攻擊時，不會受到傷害，而是會回復。,11,2
011,储水,ちょすい,Water Absorb,受到水属性的招式攻击时，不会受到伤害，而是会回复。,受到水屬性的招式攻擊時，不會受到傷害，而是會回復。,19,9
012,迟钝,どんかん,Oblivious,因为感觉迟钝，不会变为着迷和被挑衅状态。对威吓也毫不动摇。,感覺遲鈍，不會陷入著迷和被挑釁狀態。面對威嚇也不會動搖。,20,5
013,无关天气,ノーてんき,Cloud Nine,任何天气的影响都会消失。,任何天氣的影響都會消失。,2,5
014,复眼,ふくがん,Compound Eyes,因为拥有复眼，招式的命中率会提高。,因為擁有複眼，會提高招式的命中率。,11,1
015,不眠,ふみん,Insomnia,因为有着睡不着的体质，所以不会陷入睡眠状态。,因為有著睡不著的體質，所以不會陷入睡眠狀態。,15,3
016,变色,へんしょく,Color Change,自己的属性会变为从对手处所受招式的属性。,自己的屬性會變為擊中自己的對手招式的屬性。,1,0
017,免疫,めんえき,Immunity,因为体内拥有免疫能力，不会变为中毒状态。,因為體內擁有免疫能力，不會陷入中毒狀態。,2,1
018,引火,もらいび,Flash Fire,受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。,受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,21,6
019,鳞粉,りんぷん,Shield Dust,被鳞粉守护着，不会受到招式的追加效果影响。,被鱗粉守護著，不會受到招式的追加效果影響。,11,0
020,我行我素,マイペース,Own Tempo,因为我行我素，不会变为混乱状态。对威吓也毫不动摇。,因為我行我素，不會陷入混亂狀態。面對威嚇也不會動搖。,27,6
021,吸盘,きゅうばん,Suction Cups,用吸盘牢牢贴在地面上，让替换宝可梦的招式和道具无效。,用吸盤將自己牢牢吸附在地面上，讓替換寶可夢的招式和道具失效。,5,0
022,威吓,いかく,Intimidate,出场时威吓对手，让其退缩，降低对手的攻击。,出場時威嚇對手，使其退縮，從而降低對手的攻擊。,34,7
023,踩影,かげふみ,Shadow Tag,踩住对手的影子使其无法逃走或替换。,踩住對手的影子使其無法逃走或替換。,3,3
024,粗糙皮肤,さめはだ,Rough Skin,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。,受到攻擊時，用粗糙的皮膚弄傷接觸到自己的對手。,3,3
025,神奇守护,ふしぎなまもり,Wonder Guard,不可思议的力量，只有效果绝佳的招式才能击中。,不可思議的力量，只有效果絕佳的招式才會擊中自己。,1,0
026,飘浮,ふゆう,Levitate,从地面浮起，从而不会受到地面属性招式的攻击。,從地面浮起，從而不會受到地面屬性招式的攻擊。,34,0
027,孢子,ほうし,Effect Spore,受到攻击时，有时会把接触到自己的对手变为中毒、麻痹或睡眠状态。,受到攻擊時，有時會讓接觸到自己的對手陷入中毒、麻痺或睡眠狀態。,8,3
