No.,Chinese Name,Japanese Name,English Name
1,除虫喷雾,むしよけスプレー,Repel,使用后，在较短的一段时间内，弱小的野生宝可梦将完全不会出现。
2,白银喷雾,シルバースプレー,Super Repel,弱小的野生宝可梦将完全不会出现。效果比除虫喷雾更持久。
3,黄金喷雾,ゴールドスプレー,Max Repel,弱小的野生宝可梦将完全不会出现。效果比白银喷雾更持久。
4,木箱,きのはこ,Normal Box,打开看看。
5,桐木箱,きりのはこ,Gorgeous Box,打开看看。
6,蓝色玻璃哨,あおいビードロ,Blue Flute,以蓝色玻璃制成的哨子。可以治愈睡眠状态。
7,黄色玻璃哨,きいろビードロ,Yellow Flute,以黄色玻璃制成的哨子。可以治愈混乱状态。
8,红色玻璃哨,あかいビードロ,Red Flute,以红色玻璃制成的哨子。可以治愈着迷状态。
9,黑色玻璃哨,くろいビードロ,Black Flute,以黑色玻璃制成的哨子。在使用的地方更容易遇到强大的宝可梦。
10,白色玻璃哨,しろいビードロ,White Flute,以白色玻璃制成的哨子。在使用的地方更容易遇到弱小的宝可梦。
11,速速肥,すくすくこやし,Growth Mulch,培育树果时的肥料。但完全不适合丰缘地区的土壤，所以没什么效果。
12,湿湿肥,じめじめこやし,Damp Mulch,-
13,久久肥,ながながこやし,Stable Mulch,-
14,粘粘肥,ねばねばこやし,Gooey Mulch,-
15,硕果肥,たわわこやし,Rich Mulch,-
16,吃惊肥,びっくりこやし,Surprise Mulch,-
17,劲劲肥,ぐんぐんこやし,Boost Mulch,-
18,超效肥,とんでもこやし,Amaze Mulch,-
19,朱红色花蜜,くれないのミツ,Red Nectar,朱红色花的花蜜。可以改变特定宝可梦的样子。
20,金黄色花蜜,やまぶきのミツ,Yellow Nectar,金黄色花的花蜜。可以改变特定宝可梦的样子。
21,桃粉色花蜜,うすもものミツ,Pink Nectar,桃粉色花的花蜜。可以改变特定宝可梦的样子。
22,兰紫色花蜜,むらさきのミツ,Purple Nectar,兰紫色花的花蜜。可以改变特定宝可梦的样子。
23,树叶信,"rowspan=""2""",このはのおてがみ,"rowspan=""2""| Leaf Letter"
24,小小花束,ちいさなはなたば,Small Bouquet,竭尽心力制作的素雅花束。里面满满都是对训练家的心意。
25,引虫香水,むしよせコロン,Lure,使用该香水后的一小段时间内，稀有宝可梦会更容易出现。
26,白银香水,シルバーコロン,Super Lure,使用该香水后，稀有宝可梦会更容易出现。效果比引虫香水更持久。
